epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,350.642,0.69201,0.6,1,0.58701,0.00036674,0.00036674,0.00036674
2,691.649,0.53011,0.46667,1,0.59189,0.000735297,0.000735297,0.000735297
3,1195.24,0.22484,1,1,0.02173,0.00108867,0.00108867,0.00108867
4,1549.69,0.14366,1,1,0.00583,0.00142686,0.00142686,0.00142686
5,1899.08,0.06877,1,1,0.00037,0.00153497,0.00153497,0.00153497
6,2255.88,0.12915,1,1,0.0001,0.00150197,0.00150197,0.00150197
7,2559.97,0.08225,1,1,6e-05,0.00146896,0.00146896,0.00146896
8,2884.48,0.06999,0.97778,1,0.06067,0.00143595,0.00143595,0.00143595
9,3169.97,0.12402,1,1,0.00282,0.00140295,0.00140295,0.00140295
10,3494.68,0.0723,1,1,0.00068,0.00136994,0.00136994,0.00136994
11,3815.9,0.02502,1,1,0.00021,0.00133693,0.00133693,0.00133693
12,4138.52,0.03927,0.97778,1,0.12046,0.00130393,0.00130393,0.00130393
13,4535.48,0.0402,1,1,0.0011,0.00127092,0.00127092,0.00127092
